28	Zion Williamson	23	NOP	PF	70	70	31.5	8.9	15.6	.570	0.1	0.3	.333	8.8	15.4	.574	.573	5.0	7.1	.702	1.7	4.1	5.8	5.0	1.1	0.7	2.8	2.3	22.9	
29	Cade Cunningham	22	DET	PG	62	62	33.5	8.5	18.8	.449	1.9	5.4	.355	6.5	13.4	.487	.500	3.8	4.4	.869	0.5	3.8	4.3	7.5	0.9	0.4	3.4	2.5	22.7	
30	Paolo Banchero	21	ORL	PF	80	80	35.0	8.0	17.6	.455	1.5	4.4	.339	6.5	13.2	.493	.497	5.1	7.0	.725	1.0	5.9	6.9	5.4	0.9	0.6	3.1	1.9	22.6	AS
31	Paul George	33	LAC	PF	74	74	33.8	7.9	16.7	.471	3.3	7.9	.413	4.6	8.8	.523	.569	3.6	3.9	.907	0.5	4.7	5.2	3.5	1.5	0.5	2.1	2.7	22.6	AS
32	Anfernee Simons	24	POR	SG	46	46	34.4	7.8	18.2	.430	3.4	8.8	.385	4.4	9.4	.472	.523	3.5	3.9	.916	0.5	3.2	3.6	5.5	0.5	0.1	2.7	2.1	22.6	
33	Jaren Jackson Jr.	24	MEM	C	66	66	32.2	7.8	17.6	.444	1.8	5.5	.320	6.0	12.1	.501	.494	5.1	6.3	.808	1.3	4.2	5.5	2.3	1.2	1.6	2.4	3.6	22.5	
34	Dejounte Murray	27	ATL	SG	78	78	35.7	8.6	18.8	.459	2.6	7.1	.363	6.0	11.7	.518	.528	2.7	3.4	.794	0.8	4.5	5.3	6.4	1.4	0.3	2.6	1.8	22.5	
35	Cam Thomas	22	BRK	SG	66	51	31.4	8.0	18.0	.442	2.2	6.0	.364	5.8	12.0	.481	.503	4.3	5.1	.856	0.4	2.8	3.2	2.9	0.7	0.2	1.9	2.1	22.5	
36	Kyle Kuzma	28	WAS	PF	70	70	32.6	8.7	18.8	.463	2.2	6.4	.336	6.5	12.3	.530	.521	2.7	3.4	.775	0.9	5.7	6.6	4.2	0.5	0.7	2.7	2.2	22.2	
37	Karl-Anthony Towns	28	MIN	PF	62	62	32.7	7.7	15.3	.504	2.2	5.3	.416	5.5	10.1	.550	.575	4.1	4.7	.873	1.5	6.8	8.3	3.0	0.7	0.7	2.9	3.3	21.8	AS
38	Pascal Siakam	29	2TM	PF	80	80	33.2	8.5	15.9	.536	1.1	3.1	.346	7.5	12.8	.581	.569	3.6	5.0	.732	1.7	5.3	7.1	4.3	0.8	0.3	1.8	2.4	21.7	
39	Pascal Siakam	29	TOR	PF	39	39	34.7	8.3	16.0	.522	1.2	3.7	.317	7.2	12.3	.584	.559	4.3	5.7	.758	1.4	4.9	6.3	4.9	0.8	0.3	2.1	2.2	22.2	
40	Pascal Siakam	29	IND	PF	41	41	31.8	8.7	15.8	.549	1.0	2.5	.386	7.7	13.3	.580	.579	3.0	4.2	.699	2.1	5.7	7.8	3.7	0.8	0.4	1.4	2.6	21.3	
41	Victor Wembanyama	20	SAS	C	71	71	29.7	7.8	16.7	.465	1.8	5.5	.325	6.0	11.2	.534	.519	4.1	5.2	.796	2.3	8.4	10.6	3.9	1.2	3.6	3.7	2.2	21.4	ROY-1,DPOY-2
42	Jamal Murray	26	DEN	PG	59	59	31.5	8.0	16.7	.481	2.5	5.8	.425	5.6	10.9	.510	.554	2.7	3.1	.853	0.7	3.4	4.1	6.5	1.0	0.7	2.1	1.8	21.2	
43	Alperen Şengün	21	HOU	C	63	63	32.5	8.4	15.6	.537	0.5	1.8	.297	7.8	13.8	.567	.553	3.9	5.6	.693	2.9	6.4	9.3	5.0	1.2	0.7	2.6	3.3	21.1	
44	Miles Bridges	25	CHO	SF	69	67	37.4	8.1	17.5	.462	2.3	6.5	.349	5.8	11.0	.529	.527	2.5	3.1	.825	1.0	6.3	7.3	3.3	0.9	0.5	2.0	1.7	21.0	
45	Jerami Grant	29	POR	PF	54	54	33.9	7.1	15.7	.451	2.1	5.1	.402	5.0	10.6	.474	.516	4.7	5.8	.817	0.7	2.9	3.5	2.8	0.8	0.6	2.1	2.2	21.0	
46	Jimmy Butler	34	MIA	PF	60	60	34.0	6.6	13.2	.499	1.0	2.4	.414	5.6	10.8	.519	.537	6.6	7.7	.858	1.8	3.6	5.3	5.0	1.3	0.3	1.7	1.1	20.8	
47	Tyler Herro	24	MIA	SG	42	40	33.5	7.7	17.5	.441	3.1	7.9	.396	4.6	9.6	.478	.531	2.3	2.6	.856	0.5	4.8	5.3	4.5	0.7	0.1	2.2	1.5	20.8	
48	Brandon Ingram	26	NOP	SF	64	64	32.9	7.8	15.9	.492	1.3	3.8	.355	6.5	12.1	.534	.534	3.8	4.8	.801	0.7	4.4	5.1	5.7	0.8	0.6	2.5	2.3	20.8	
49	RJ Barrett	23	2TM	SG	58	58	31.7	7.5	15.2	.495	1.6	4.3	.360	6.0	10.9	.549	.547	3.6	5.0	.715	0.9	4.5	5.4	3.3	0.5	0.4	2.2	2.2	20.2	
50	RJ Barrett	23	NYK	SG	26	26	29.5	6.3	14.9	.423	1.7	5.0	.331	4.7	9.9	.469	.478	4.0	4.8	.831	0.7	3.5	4.3	2.4	0.5	0.3	1.8	1.7	18.2	
51	RJ Barrett	23	TOR	SG	32	32	33.5	8.5	15.4	.553	1.5	3.8	.392	7.0	11.6	.605	.601	3.3	5.2	.629	1.1	5.3	6.4	4.1	0.6	0.4	2.5	2.6	21.8	
52	Tyrese Haliburton	23	IND	PG	69	68	32.2	7.2	15.2	.477	2.8	7.8	.364	4.4	7.4	.595	.570	2.8	3.3	.855	0.5	3.4	3.9	10.9	1.2	0.7	2.3	1.1	20.1	AS,NBA3
53	Kristaps Porziņģis	28	BOS	C	57	57	29.6	6.8	13.2	.516	1.9	5.1	.375	4.9	8.1	.606	.589	4.5	5.3	.858	1.7	5.5	7.2	2.0	0.7	1.9	1.6	2.7	20.1	
54	CJ McCollum	32	NOP	PG	66	66	32.7	7.3	16.0	.459	3.6	8.4	.429	3.7	7.5	.492	.572	1.7	2.1	.827	0.6	3.7	4.3	4.6	0.9	0.6	1.7	1.9	20.0	
55	Scottie Barnes	22	TOR	SG	60	60	34.9	7.5	15.7	.475	1.7	4.9	.341	5.8	10.8	.536	.528	3.3	4.2	.781	2.4	5.9	8.2	6.1	1.3	1.5	2.8	2.0	19.9	AS
56	Terry Rozier	29	2TM	SG	61	60	33.4	7.2	16.4	.443	2.4	6.7	.363	4.8	9.6	.498	.518	2.8	3.2	.869	0.6	3.5	4.0	5.6	1.0	0.3	1.7	1.7	19.8	
57	Terry Rozier	29	CHO	SG	30	30	35.5	8.4	18.3	.459	2.8	7.7	.358	5.6	10.6	.533	.535	3.6	4.3	.845	0.6	3.3	3.9	6.6	1.1	0.4	2.2	1.7	23.2	
58	Terry Rozier	29	MIA	PG	31	30	31.5	6.1	14.5	.423	2.1	5.7	.371	4.0	8.7	.458	.497	2.0	2.2	.913	0.6	3.6	4.2	4.6	1.0	0.3	1.3	1.6	16.4	
59	Franz Wagner	22	ORL	SF	72	72	32.5	7.3	15.2	.482	1.3	4.6	.281	6.0	10.6	.570	.525	3.8	4.4	.850	1.0	4.3	5.3	3.7	1.1	0.4	1.9	2.3	19.7	
60	Mikal Bridges	27	BRK	SF	82	82	34.8	6.9	15.8	.436	2.7	7.2	.372	4.2	8.6	.490	.521	3.1	3.9	.814	0.8	3.7	4.5	3.6	1.0	0.4	2.0	1.4	19.6	
61	Jalen Green	21	HOU	SG	82	82	31.7	6.9	16.2	.423	2.5	7.4	.332	4.4	8.9	.498	.498	3.5	4.3	.804	0.5	4.7	5.2	3.5	0.8	0.3	2.3	1.4	19.6	
62	Zach LaVine	28	CHI	SG	25	23	34.9	6.8	15.0	.452	2.4	6.8	.349	4.4	8.3	.536	.531	3.5	4.1	.854	0.3	4.8	5.2	3.9	0.8	0.3	2.1	2.3	19.5	
63	Devin Vassell	23	SAS	SG	68	62	33.1	7.3	15.5	.472	2.4	6.6	.372	4.9	9.0	.544	.550	2.4	3.0	.801	0.4	3.4	3.8	4.1	1.1	0.3	1.6	1.1	19.5	
64	Domantas Sabonis	27	SAC	C	82	82	35.7	7.7	13.0	.594	0.4	1.1	.379	7.3	12.0	.613	.609	3.6	5.1	.704	3.6	10.1	13.7	8.2	0.9	0.6	3.3	3.0	19.4	MVP-8,DPOY-10,NBA3
65	Bam Adebayo	26	MIA	C	71	71	34.0	7.5	14.3	.521	0.2	0.6	.357	7.3	13.7	.528	.529	4.1	5.5	.755	2.2	8.1	10.4	3.9	1.1	0.9	2.3	2.2	19.3	DPOY-3,AS
66	Coby White	23	CHI	PG	79	78	36.5	6.8	15.3	.447	2.6	7.0	.376	4.2	8.3	.508	.534	2.8	3.3	.838	0.6	4.0	4.5	5.1	0.7	0.2	2.1	2.4	19.1	
67	Jalen Williams	22	OKC	PF	71	71	31.3	7.5	14.0	.540	1.5	3.4	.427	6.1	10.6	.576	.592	2.5	3.1	.814	0.5	3.5	4.0	4.5	1.1	0.6	1.7	2.5	19.1	CPOY-12
68	Collin Sexton	25	UTA	SG	78	51	26.6	6.5	13.3	.487	1.6	4.2	.394	4.8	9.1	.530	.549	4.1	4.7	.859	0.9	1.7	2.6	4.9	0.8	0.2	2.1	2.0	18.7	
69	Bradley Beal	30	PHO	SG	53	53	33.3	7.1	13.9	.513	1.9	4.4	.430	5.2	9.4	.552	.582	2.1	2.5	.813	1.0	3.4	4.4	5.0	1.0	0.5	2.5	2.4	18.2	
70	Darius Garland	24	CLE	PG	57	57	33.4	6.6	14.8	.446	2.3	6.2	.371	4.3	8.5	.501	.524	2.6	3.1	.834	0.5	2.1	2.7	6.5	1.3	0.1	3.1	1.7	18.0	
71	D'Angelo Russell	27	LAL	PG	76	69	32.7	6.5	14.2	.456	3.0	7.2	.415	3.5	7.0	.497	.560	2.1	2.5	.828	0.4	2.7	3.1	6.3	0.9	0.5	2.1	2.1	18.0	
72	Nikola Vučević	33	CHI	C	76	74	34.3	7.7	15.9	.484	1.2	4.1	.294	6.5	11.8	.550	.522	1.4	1.7	.822	2.8	7.8	10.5	3.3	0.7	0.8	1.6	2.5	18.0	
73	Klay Thompson	33	GSW	SF	77	63	29.7	6.4	14.7	.432	3.5	9.0	.387	2.9	5.7	.503	.551	1.6	1.8	.927	0.5	2.8	3.3	2.3	0.6	0.5	1.5	1.6	17.9	
74	Jordan Poole	24	WAS	SG	78	66	30.1	6.3	15.2	.413	2.4	7.2	.326	3.9	8.0	.492	.491	2.5	2.8	.877	0.4	2.3	2.7	4.4	1.1	0.3	2.4	3.1	17.4	
75	Fred VanVleet	29	HOU	PG	73	73	36.8	5.8	13.9	.416	3.1	8.0	.387	2.7	5.9	.454	.527	2.7	3.1	.860	0.5	3.4	3.8	8.1	1.4	0.8	1.7	2.5	17.4	
76	Brandon Miller	21	CHO	SF	74	68	32.2	6.4	14.6	.440	2.5	6.7	.373	3.9	8.0	.495	.524	1.9	2.3	.827	0.8	3.4	4.3	2.4	0.9	0.6	1.8	2.5	17.3	ROY-3
77	Tobias Harris	31	PHI	PF	70	70	33.8	6.6	13.6	.487	1.3	3.7	.353	5.3	9.9	.537	.535	2.7	3.0	.878	1.1	5.3	6.5	3.1	1.0	0.7	1.3	1.6	17.2	
78	Jordan Clarkson	31	UTA	SG	55	19	30.6	6.1	14.8	.413	1.7	5.6	.294	4.5	9.2	.485	.469	3.2	3.7	.881	0.9	2.5	3.4	5.0	0.6	0.1	2.7	1.5	17.1	
79	Myles Turner	27	IND	C	77	77	27.0	6.2	11.8	.524	1.5	4.2	.358	4.7	7.6	.615	.587	3.2	4.1	.773	1.5	5.5	6.9	1.3	0.5	1.9	1.4	3.0	17.1	
80	Immanuel Quickley	24	2TM	SG	68	38	29.2	5.7	13.1	.434	2.5	6.4	.395	3.2	6.8	.471	.530	3.1	3.6	.853	0.3	3.6	3.8	4.9	0.7	0.1	1.5	1.8	17.0	
81	Immanuel Quickley	24	NYK	SG	30	0	24.0	5.1	11.2	.454	2.1	5.4	.395	2.9	5.8	.509	.549	2.7	3.1	.872	0.2	2.4	2.6	2.5	0.5	0.1	1.0	1.5	15.0	
82	Immanuel Quickley	24	TOR	PG	38	38	33.3	6.2	14.7	.422	2.8	7.1	.395	3.4	7.6	.448	.518	3.3	4.0	.841	0.3	4.5	4.8	6.8	0.9	0.2	1.8	2.0	18.6	
83	Bogdan Bogdanović	31	ATL	SG	79	33	30.4	6.0	13.9	.428	3.0	8.1	.374	2.9	5.8	.503	.537	1.9	2.1	.921	0.7	2.8	3.4	3.1	1.2	0.3	1.4	2.3	16.9	6MOY-5
84	Deandre Ayton	25	POR	C	55	55	32.4	7.8	13.6	.570	0.0	0.2	.100	7.7	13.4	.576	.571	1.2	1.4	.823	3.2	7.9	11.1	1.6	1.0	0.8	1.8	2.0	16.7	
85	Michael Porter Jr.	25	DEN	SF	81	81	31.7	6.4	13.3	.484	2.7	6.8	.397	3.7	6.5	.575	.586	1.1	1.4	.836	1.3	5.7	7.0	1.5	0.5	0.7	1.1	1.8	16.7	
86	James Harden	34	LAC	PG	72	72	34.3	4.9	11.4	.428	2.6	6.8	.381	2.3	4.6	.497	.541	4.2	4.8	.878	0.5	4.7	5.1	8.5	1.1	0.8	2.6	1.8	16.6	
87	Jarrett Allen	25	CLE	C	77	77	31.7	6.7	10.6	.634	0.0	0.1	.000	6.7	10.6	.638	.634	3.0	4.1	.742	3.2	7.4	10.5	2.7	0.7	1.1	1.6	1.9	16.5	DPOY-10
88	Chet Holmgren	21	OKC	C	82	82	29.4	6.2	11.6	.530	1.6	4.3	.370	4.6	7.4	.623	.598	2.7	3.4	.793	1.6	6.3	7.9	2.4	0.6	2.3	1.6	2.4	16.5	ROY-2
89	Jonathan Kuminga	21	GSW	PF	74	46	26.3	6.2	11.6	.529	0.7	2.2	.321	5.4	9.4	.578	.560	3.0	4.0	.746	1.2	3.6	4.8	2.2	0.7	0.5	1.6	2.3	16.1	
90	Jalen Johnson	22	ATL	SF	56	52	33.7	6.4	12.5	.511	1.3	3.6	.355	5.1	9.0	.574	.562	1.9	2.6	.728	1.3	7.4	8.7	3.6	1.2	0.8	1.8	2.4	16.0	
91	Austin Reaves	25	LAL	SG	82	57	32.1	5.6	11.5	.486	1.9	5.1	.367	3.7	6.3	.583	.568	2.8	3.3	.853	0.7	3.6	4.3	5.5	0.8	0.3	2.1	1.9	15.9	
92	Shaedon Sharpe	20	POR	SG	32	25	33.1	5.5	13.6	.406	1.9	5.6	.333	3.6	7.9	.457	.475	3.1	3.7	.824	1.3	3.7	5.0	2.9	0.9	0.4	2.3	2.8	15.9	
93	Malcolm Brogdon	31	POR	PG	39	25	28.7	5.6	12.7	.440	2.1	5.1	.412	3.5	7.6	.458	.522	2.4	3.0	.819	0.7	3.1	3.8	5.5	0.7	0.2	1.5	1.5	15.7	
94	Keldon Johnson	24	SAS	SF	69	27	29.5	5.7	12.5	.454	1.8	5.3	.346	3.8	7.2	.533	.527	2.5	3.2	.792	1.4	4.1	5.5	2.8	0.7	0.3	1.4	2.2	15.7	
95	Evan Mobley	22	CLE	PF	50	50	30.6	6.4	11.0	.580	0.4	1.2	.373	6.0	9.9	.604	.600	2.5	3.4	.719	2.2	7.1	9.4	3.2	0.9	1.4	1.8	2.7	15.7	
96	De'Andre Hunter	26	ATL	SF	57	37	29.5	5.3	11.6	.459	2.1	5.3	.385	3.3	6.3	.521	.547	2.9	3.4	.847	0.5	3.4	3.9	1.5	0.7	0.3	1.5	2.6	15.6	
97	Donte DiVincenzo	27	NYK	SG	81	63	29.1	5.5	12.4	.443	3.5	8.7	.401	2.0	3.7	.542	.584	1.1	1.4	.754	0.8	2.9	3.7	2.7	1.3	0.4	1.4	2.0	15.5	
98	Jaden Ivey	21	DET	SG	77	61	28.8	5.4	12.6	.429	1.6	4.8	.336	3.8	7.8	.485	.492	2.9	3.9	.749	1.1	2.3	3.4	3.8	0.7	0.5	2.5	2.6	15.4	
99	Malik Monk	25	SAC	SG	72	0	26.0	5.5	12.4	.443	2.1	5.9	.350	3.4	6.5	.528	.526	2.4	2.8	.829	0.4	2.6	2.9	5.1	0.6	0.5	2.1	2.2	15.4	CPOY-12,6MOY-2
100	Kelly Oubre Jr.	28	PHI	SF	68	52	30.2	5.7	12.9	.441	1.5	4.8	.311	4.2	8.1	.517	.498	2.6	3.4	.750	1.4	3.6	5.0	1.5	1.1	0.7	1.3	2.9	15.4	
101	Bojan Bogdanović	34	2TM	PF	57	27	25.9	5.4	11.9	.454	2.3	5.9	.398	3.1	6.1	.507	.551	2.1	2.6	.785	0.4	2.3	2.7	1.7	0.5	0.1	1.8	1.7	15.2
